customer_city,payment_value
andradina,7653.47
paulista,7602.08
itaguai,7537.0
tupa,7519.8
paracambi,7516.2300000000005
navegantes,7500.85
esteio,7466.14
cruzeiro,7458.77
alagoinhas,7428.33
queimados,7380.4
santarem,7272.65
sao miguel do oeste,7241.39
concordia,7240.19
itapema,7233.42
osorio,7225.75
cachoeira do sul,7223.41
mococa,7108.56
primavera do leste,7092.91
caucaia,7092.72
embu-guacu,7062.82
guaxupe,6967.0
rolandia,6955.900000000001
curvelo,6946.28
artur nogueira,6882.04
ijui,6870.15
sapucaia do sul,6868.66
ituiutaba,6867.95
maracanau,6668.2300000000005
olimpia,6642.18
umuarama,6638.01
lucas do rio verde,6627.8099999999995
barra do pirai,6619.0199999999995
balsas,6607.7300000000005
vargem grande paulista,6595.93
santo angelo,6578.63
mossoro,6573.53
itumbiara,6570.67
mafra,6551.24
alfenas,6539.45
taio,6475.8
catalao,6440.92
extrema,6436.51
valparaiso de goias,6424.51
arraial do cabo,6409.3099999999995
altamira,6399.82
mirassol,6383.33
itabirito,6373.71
itupeva,6323.22
araucaria,6255.87
mongagua,6232.17
caldas novas,6204.57
gurupi,6192.18
sao bento do sul,6189.45
batatais,6158.21
adamantina,6154.09
santo antonio de padua,6152.7300000000005
bebedouro,6141.75
guaiba,6139.13
formosa,6124.12
jequie,6037.84
uniao da vitoria,6037.75
guanambi,6012.54
arcos,5989.36
sao jose do rio pardo,5971.05
tucurui,5931.75
campo novo do parecis,5915.780000000001
santa barbara,5889.97
saquarema,5878.12
pedro leopoldo,5875.05
campo limpo paulista,5841.24
mandaguari,5829.06
bom despacho,5724.88
sao pedro da aldeia,5712.97
uruguaiana,5712.59
rio do sul,5695.14
cianorte,5691.55
salinas,5691.16
japeri,5682.83
corumba,5671.02
caceres,5668.5599999999995
montenegro,5643.51
capao da canoa,5634.34
parauapebas,5634.15
sao sebastiao do paraiso,5628.889999999999
tres coracoes,5628.39
louveira,5615.7300000000005
armacao dos buzios,5612.87
luziania,5608.51
santo antonio da patrulha,5603.12
penapolis,5549.28
telemaco borba,5483.41
cacador,5469.62
tremembe,5462.7
garanhuns,5436.33
piraju,5430.97
juina,5417.13
guaira,5402.83
capivari,5396.48
santo antonio de posse,5393.22
alegrete,5393.04
vassouras,5336.56
sabara,5334.36
aracruz,5333.48
itarare,5320.22
canoinhas,5291.02
ouro branco,5283.79
campo bom,5283.34
parnaiba,5274.28
cataguases,5273.52
dracena,5268.27
seropedica,5256.35
taquaritinga,5237.07
joacaba,5233.09
simoes filho,5223.07
mariana,5218.88
fazenda rio grande,5204.96
sao lourenco,5199.97
carangola,5198.49
passos,5196.44
nova odessa,5162.07
monte mor,5146.17
santo antonio de jesus,5146.04
tiete,5112.72
almirante tamandare,5041.83
formiga,5033.34
rio bonito,5013.79
biguacu,5011.45
promissao,4994.96
coronel fabriciano,4984.2699999999995
ariquemes,4969.64
redencao,4958.84
taquara,4954.91
barra do garcas,4924.29
bom jesus do galho,4923.81
santana do livramento,4911.3
xanxere,4906.49
tangara da serra,4870.22
picos,4815.69
sao joaquim da barra,4808.58
patos,4795.28
boa esperanca,4789.23
viana,4782.41
camaragibe,4762.9
campo largo,4725.21
pereira barreto,4723.13
santa rita do sapucai,4687.13
barra bonita,4682.95
abaetetuba,4672.27
santa fe do sul,4668.63
maraba,4661.78
carmo do paranaiba,4652.95
ponta pora,4652.16
castanhal,4640.18
russas,4622.34
orlandia,4617.0199999999995
andradas,4595.97
cambe,4559.06
imbituba,4546.4400000000005
santa vitoria,4546.18
sapiranga,4477.72
pacatuba,4469.860000000001
timbo,4468.12
piumhii,4454.11
ji-parana,4435.13
ituverava,4419.18
miguel pereira,4409.54
presidente venceslau,4366.63
monte alegre do sul,4360.38
iguatu,4355.54
castro,4347.65
mineiros,4336.14
dois irmaos,4328.64
marechal candido rondon,4326.85
guacui,4311.75
alvares machado,4227.42
teixeira de freitas,4218.39
aparecida,4208.91
ilhabela,4180.38
cicero dantas,4156.38
tijucas,4144.17
alta floresta,4133.89
frutal,4116.67
bom jesus do itabapoana,4091.46
aguas de lindoia,4084.18
martinopolis,4084.1099999999997
posse,4080.11
catole do rocha,4066.6900000000005
panambi,4059.15
cerqueira cesar,4059.12
campo formoso,4054.34
indaial,4052.06
januaria,4050.95
laranjeiras do sul,4039.17
jales,4031.92
itapolis,4026.78
ipira,4010.46
ibiuna,4009.93
sorriso,4009.0299999999997
sao luiz gonzaga,4008.72
campos do jordao,3997.02
guapore,3987.06
petrolandia,3972.5
casimiro de abreu,3963.31
cruz alta,3961.66
pires do rio,3930.0299999999997
itabaiana,3929.66
ipanema,3916.27
sao pedro,3903.33
crato,3895.83
bacabal,3883.5
cerquilho,3861.71
gramado,3822.95
monte carmelo,3819.48
ibiruba,3806.4300000000003
farroupilha,3792.49
camboriu,3789.08
cachoeira paulista,3768.0099999999998
espera feliz,3751.42
guararapes,3750.05
janauba,3699.2200000000003
jaguariaiva,3692.11
santa rosa,3667.06
claudio,3664.07
cambui,3660.81
sao manuel,3655.87
guapimirim,3644.91
capao bonito,3622.16
medianeira,3619.2
congonhas,3618.83
cabo de santo agostinho,3618.25
valente,3614.1000000000004
nova xavantina,3602.16
quata,3602.05
alem paraiba,3601.32
serra negra,3599.51
aracati,3596.25
ituporanga,3580.25
garca,3577.37
estancia velha,3563.85
escada,3556.7
matinhos,3538.83
cruzeiro do sul,3537.43
juquitiba,3529.98
porto feliz,3521.9
natividade,3517.22
maracaju,3511.21
mandaguacu,3503.4500000000003
curitibanos,3501.49
rondon do para,3484.38
brumado,3474.19
macatuba,3452.45
paraiba do sul,3452.08
